"SIGNAL","TIME1","TIME2","TDIFF","X","DIR","P","PED","BIKE","SCOOT","SKATE","WHEEL","OTHER","PEDOUT","A00","A21","A45","A90","A45A","A45B","A45C","A90A","A90B","A90C","A00_2","A45_26","A45_48","A90_26","A90_48","FOLDER"
5306,2019-01-28 11:12:22,2019-01-28 12:00:00,47.6333333333333,2,"E",2,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,22,0,4,0,6,"2019-01-28 5306"
5306,2019-01-28 12:00:00,2019-01-28 12:57:14,57.2333333333333,2,"E",2,3,0,0,0,0,0,0,26,26,1,1,1,1,1,1,1,1,26,7,7,9,28,"2019-01-28 5306"
5306,2019-01-28 11:12:22,2019-01-28 12:00:00,47.6333333333333,3,"S",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-01-28 5306"
5306,2019-01-28 12:00:00,2019-01-28 12:57:14,57.2333333333333,3,"S",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-01-28 5306"
8119,2019-01-28 13:09:38,2019-01-28 14:00:00,50.3666666666667,1,"N",2,4,0,0,0,0,0,0,25,25,2,3,1,2,2,2,2,2,25,2,1,3,1,"2019-01-28 8119"
8119,2019-01-28 14:00:00,2019-01-28 15:00:00,60,1,"N",2,2,1,0,0,1,0,0,30,30,1,1,1,1,1,1,1,1,30,1,3,1,13,"2019-01-28 8119"
8119,2019-01-28 15:00:00,2019-01-28 16:00:00,60,1,"N",2,6,1,0,2,0,0,0,30,30,2,3,1,2,2,2,2,2,30,2,8,3,41,"2019-01-28 8119"
8119,2019-01-28 16:00:00,2019-01-28 17:00:00,60,1,"N",2,4,0,0,0,0,0,0,30,30,2,2,0,1,1,1,1,1,30,3,2,3,13,"2019-01-28 8119"
8119,2019-01-28 17:00:00,2019-01-28 18:00:00,60,1,"N",2,3,1,0,0,0,0,0,30,30,1,1,1,1,1,1,1,1,30,4,6,4,16,"2019-01-28 8119"
8119,2019-01-28 18:00:00,2019-01-28 19:00:00,60,1,"N",2,8,0,0,0,0,0,0,41,15,1,1,1,1,1,1,1,1,41,1,1,1,1,"2019-01-28 8119"
8119,2019-01-28 19:00:00,2019-01-28 20:00:00,60,1,"N",2,2,0,0,0,0,0,0,51,1,1,1,1,1,1,1,1,1,51,1,2,1,3,"2019-01-28 8119"
8119,2019-01-28 20:00:00,2019-01-28 21:00:00,60,1,"N",2,1,2,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,49,2,2,2,2,"2019-01-28 8119"
8119,2019-01-28 21:00:00,2019-01-28 22:00:00,60,1,"N",2,2,2,0,0,0,0,0,29,1,1,1,1,1,1,1,1,1,29,2,1,2,1,"2019-01-28 8119"
8119,2019-01-28 22:00:00,2019-01-28 23:00:00,60,1,"N",2,2,0,0,0,0,0,0,26,1,1,1,0,1,1,1,1,1,26,1,0,1,0,"2019-01-28 8119"
8119,2019-01-28 23:00:00,2019-01-29 00:00:00,60,1,"N",2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,"2019-01-28 8119"
8119,2019-01-29 00:00:00,2019-01-29 01:00:00,60,1,"N",2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"2019-01-28 8119"
8119,2019-01-29 01:00:00,2019-01-29 02:00:00,60,1,"N",2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"2019-01-28 8119"
8119,2019-01-29 02:00:00,2019-01-29 03:00:00,60,1,"N",2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,"2019-01-28 8119"
8119,2019-01-29 03:00:00,2019-01-29 04:00:00,60,1,"N",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-01-28 8119"
8119,2019-01-29 04:00:00,2019-01-29 05:00:00,60,1,"N",2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"2019-01-28 8119"
8119,2019-01-29 05:00:00,2019-01-29 06:00:00,60,1,"N",2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,"2019-01-28 8119"
8119,2019-01-29 06:00:00,2019-01-29 07:00:00,60,1,"N",2,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,"2019-01-28 8119"
8119,2019-01-29 07:00:00,2019-01-29 08:00:00,60,1,"N",2,1,0,0,0,0,0,0,33,17,0,0,0,0,0,0,0,0,33,0,1,0,1,"2019-01-28 8119"
8119,2019-01-29 08:00:00,2019-01-29 08:05:24,5.4,1,"N",2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,"2019-01-28 8119"
8119,2019-01-28 13:09:38,2019-01-28 14:00:00,50.3666666666667,4,"W",8,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,2,1,3,1,"2019-01-28 8119"
8119,2019-01-28 14:00:00,2019-01-28 15:00:00,60,4,"W",8,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,1,3,1,13,"2019-01-28 8119"
8119,2019-01-28 15:00:00,2019-01-28 16:00:00,60,4,"W",8,1,1,0,1,0,0,0,30,3,3,16,3,3,3,7,5,4,30,2,8,3,41,"2019-01-28 8119"
8119,2019-01-28 16:00:00,2019-01-28 17:00:00,60,4,"W",8,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,3,2,3,13,"2019-01-28 8119"
8119,2019-01-28 17:00:00,2019-01-28 18:00:00,60,4,"W",8,2,0,0,0,0,0,0,30,2,2,7,2,2,2,4,3,3,30,4,6,4,16,"2019-01-28 8119"
8119,2019-01-28 18:00:00,2019-01-28 19:00:00,60,4,"W",8,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,41,1,1,1,1,"2019-01-28 8119"
8119,2019-01-28 19:00:00,2019-01-28 20:00:00,60,4,"W",8,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,51,1,2,1,3,"2019-01-28 8119"
8119,2019-01-28 20:00:00,2019-01-28 21:00:00,60,4,"W",8,2,0,0,0,0,0,0,50,1,1,1,1,1,1,1,1,1,49,2,2,2,2,"2019-01-28 8119"
8119,2019-01-28 21:00:00,2019-01-28 22:00:00,60,4,"W",8,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,29,2,1,2,1,"2019-01-28 8119"
8119,2019-01-28 22:00:00,2019-01-28 23:00:00,60,4,"W",8,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,26,1,0,1,0,"2019-01-28 8119"
8119,2019-01-28 23:00:00,2019-01-29 00:00:00,60,4,"W",8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,"2019-01-28 8119"
8119,2019-01-29 00:00:00,2019-01-29 01:00:00,60,4,"W",8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"2019-01-28 8119"
