VIDEOID,SIGNALID,LOCATION,TIME1,TIME2,X1,X2,X3,X4,P1,P2,P3,P4,C1,C2,C3,C4,PERSON1,PERSON2,SAVED,NOTES,FOLDER
1,5306,"Main St / US-89/91 @ 400 N / US-89, LGN",1/28/2019 11:12,1/28/2019 12:57,,E,S,,8,2,NA,6,,SE,,,PAS,,34:04.0,,2019-01-28 5306
2,8119,"St George Blvd / SR-34 @ 400 E, STG",1/28/2019 13:09,1/29/2019 8:05,N,,,W,2,4,6,8,,,,NW,PAS,,29:57.8,,2019-01-28 8119
3,5306,"Main St / US-89/91 @ 400 N / US-89, LGN",1/29/2019 9:10,2/1/2019 12:05,,E,S,,8,2,NA,6,,SE,,,PAS,,35:50.4,,2019-01-29 5306
4,7184,"700 E / SR-71 @ 900 S, SLC",1/29/2019 9:26,2/1/2019 5:49,,,S,W,8,2,4,6,,,SW,,PAS,,43:38.7,,2019-01-29 7184
5,8119,"St George Blvd / SR-34 @ 400 E, STG",1/29/2019 9:27,1/30/2019 10:45,N,,,W,2,4,6,8,,,,NW,PAS,,39:18.5,,2019-01-29 8119
6,8119,"St George Blvd / SR-34 @ 400 E, STG",1/30/2019 10:45,2/1/2019 12:05,,E,S,,2,4,6,8,,SE,,,PAS,,41:32.1,,2019-01-30 8119
7,5306,"Main St / US-89/91 @ 400 N / US-89, LGN",2/1/2019 14:08,2/3/2019 7:35,N,,,W,8,2,NA,6,,,SW,NW,PAS,,40:38.3,,2019-02-01 5306
8,7184,"700 E / SR-71 @ 900 S, SLC",2/1/2019 14:09,2/1/2019 20:54,N,E,,,8,2,4,6,NE,,,,PAS,,10:17.8,,2019-02-01 7184
9,8119,"St George Blvd / SR-34 @ 400 E, STG",2/1/2019 14:10,2/4/2019 10:19,,E,S,,2,4,6,8,,SE,,,PAS,JDD,18:39.3,,2019-02-01 8119
10,5306,"Main St / US-89/91 @ 400 N / US-89, LGN ",2/3/2019 7:35,2/4/2019 10:17,,E,S,,8,2,NA,6,,SE,,,PAS,,14:48.7,,2019-02-03 5306
11,4130,"6200 S @ Jordan Canal Rd / Margray Dr, TAY",2/4/2019 10:50,2/6/2019 13:05,N,E,,,2,4,6,8,NE,,,NW,PAS,,50:19.6,,2019-02-04 4130
12,5311,"Main St / US-91 @ 1400 N, LGN ",2/4/2019 10:48,2/6/2019 13:05,N,,S,W,8,2,4,6,,,SW,NW,PAS,,17:51.2,,2019-02-04 5311
13,4130,"6200 S @ Jordan Canal Rd / Margray Dr, TAY",2/6/2019 13:14,2/8/2019 13:26,,,S,W,2,4,6,8,,,SW,,PAS,MAR,11:53.4,,2019-02-06 4130
14,5024,"Washington Blvd / US-89 @ 24th St / SR-53, OGD",2/6/2019 13:13,2/8/2019 13:26,N,,,W,8,2,4,6,,,SW,NW,PAS,MAR,18:46.7,,2019-02-06 5024
15,5311,"Main St / US-91 @ 1400 N, LGN",2/6/2019 13:13,2/8/2019 13:26,N,E,,,8,2,4,6,NE,,,NW,PAS,,23:29.3,,2019-02-06 5311
16,5305,"Main St / US-89/91 @ 200 N / SR-30, LGN",2/8/2019 13:49,2/8/2019 17:00,N,,,W,8,2,4,6,,,,NW,PAS,,24:59.3,,2019-02-08 5305
17,6125,"Main St / US-40 @ Vernal Ave / US-191 / MP 144.3, VNL",2/8/2019 13:50,2/11/2019 11:38,N,E,,,2,4,6,8,NE,,,,PAS,,34:16.4,,2019-02-08 6125
18,6393,"State St / US-89 @ 1600 N, ORM",2/8/2019 13:51,2/11/2019 11:38,N,,S,W,8,2,4,6,,,SW,NW,PAS,TJK,58:17.9,,2019-02-08 6393
19,5305,"Main St / US-89/91 @ 200 N / SR-30, LGN",2/10/2019 6:25,2/10/2019 17:13,N,,,,8,2,4,6,,,,,PAS,,54:36.5,,2019-02-10 5305
20,5305,"Main St / US-89/91 @ 200 N / SR-30, LGN",2/11/2019 8:45,2/11/2019 11:07,N,,,,8,2,4,6,NE,,,,PAS,MH,07:48.1,,2019-02-11 5305 a
21,5305,"Main St / US-89/91 @ 200 N / SR-30, LGN",2/11/2019 13:00,2/13/2019 3:24,N,E,S,,8,2,4,6,NE,SE,,,PAS,MH,46:43.9,,2019-02-11 5305 b
22,6125,"Main St / US-40 @ Vernal Ave / US-191 / MP 144.3, VNL",2/11/2019 13:01,2/13/2019 3:24,,,S,W,2,4,6,8,,,SW,,PAS,,49:29.6,,2019-02-11 6125
23,6393,"State St / US-89 @ 1600 N, ORM",2/11/2019 13:02,2/13/2019 3:24,N,E,,,8,2,4,6,NE,,,NW,PAS,MRL,45:48.2,,2019-02-11 6393
24,5305,"Main St / US-89/91 @ 200 N / SR-30, LGN",2/13/2019 13:43,2/15/2019 14:08,N,,,W,8,2,4,6,,,,NW,PAS,,55:42.8,,2019-02-13 5305
25,7184,"700 E / SR-71 @ 900 S, SLC",2/13/2019 13:44,2/14/2019 5:58,N,E,,,8,2,4,6,NE,SE,,,PAS,RM,48:50.3,,2019-02-13 7184
