"SIGNAL","TIME1","TIME2","TDIFF","P","A00","A21","A45","A90","A45A","A45B","A45C","A90A","A90B","A90C","TDMAX"
5306,2017-07-01 00:00:00,2017-07-01 01:00:00,60,2,55,0,0,0,0,0,0,0,0,0,2.75999999841054
5306,2017-07-01 01:00:00,2017-07-01 02:00:00,60,2,42,1,1,2,1,1,1,2,2,2,10.3933333317439
5306,2017-07-01 02:00:00,2017-07-01 03:00:00,60,2,20,0,0,0,0,0,0,0,0,0,10.3933333317439
5306,2017-07-01 03:00:00,2017-07-01 04:00:00,60,2,16,0,0,0,0,0,0,0,0,0,10.5299999992053
5306,2017-07-01 04:00:00,2017-07-01 05:00:00,60,2,18,0,0,0,0,0,0,0,0,0,9.3616666674614
5306,2017-07-01 05:00:00,2017-07-01 06:00:00,60,2,52,0,0,0,0,0,0,0,0,0,3.44333333174388
5306,2017-07-01 06:00:00,2017-07-01 07:00:00,60,2,69,3,3,3,2,3,3,3,3,3,2.06000000238419
5306,2017-07-01 07:00:00,2017-07-01 08:00:00,60,2,50,16,5,6,5,5,5,6,6,6,1.63166666428248
5306,2017-07-01 08:00:00,2017-07-01 09:00:00,60,2,30,30,0,0,0,0,0,0,0,0,1.05833333333333
5306,2017-07-01 09:00:00,2017-07-01 10:00:00,60,2,30,30,5,6,4,5,5,6,6,6,0.891666666666667
5306,2017-07-01 10:00:00,2017-07-01 11:00:00,60,2,28,28,8,8,5,6,6,7,6,6,0.983333333333333
5306,2017-07-01 11:00:00,2017-07-01 12:00:00,60,2,27,27,5,6,3,5,5,6,6,6,0.933333333333333
5306,2017-07-01 12:00:00,2017-07-01 13:00:00,60,2,27,27,9,18,5,6,6,7,6,5,0.908333333333333
5306,2017-07-01 13:00:00,2017-07-01 14:00:00,60,2,27,27,1,2,1,1,1,2,2,2,0.908333333333333
5306,2017-07-01 14:00:00,2017-07-01 15:00:00,60,2,28,28,3,4,1,3,3,3,3,3,0.95
5306,2017-07-01 15:00:00,2017-07-01 16:00:00,60,2,26,26,0,0,0,0,0,0,0,0,1.19666666587194
5306,2017-07-01 16:00:00,2017-07-01 17:00:00,60,2,27,27,3,3,2,2,2,3,3,3,0.943333331743876
5306,2017-07-01 17:00:00,2017-07-01 18:00:00,60,2,28,28,6,21,6,6,6,8,8,8,0.908333333333333
5306,2017-07-01 18:00:00,2017-07-01 19:00:00,60,2,24,27,16,51,10,10,9,19,17,13,1.4616666674614
5306,2017-07-01 19:00:00,2017-07-01 20:00:00,60,2,30,30,11,11,5,8,8,8,8,8,1.43166666825612
5306,2017-07-01 20:00:00,2017-07-01 21:00:00,60,2,30,30,15,20,14,14,14,17,16,16,0.933333333333333
5306,2017-07-01 21:00:00,2017-07-01 22:00:00,60,2,29,29,11,21,9,11,11,12,10,10,0.945000000794729
5306,2017-07-01 22:00:00,2017-07-01 23:00:00,60,2,55,17,18,20,16,18,18,18,18,18,1.10833333333333
5306,2017-07-01 23:00:00,2017-07-02 00:00:00,60,2,64,22,21,24,15,20,17,24,24,24,1.3116666674614
5306,2017-07-02 00:00:00,2017-07-02 01:00:00,60,2,59,3,4,6,3,4,4,3,3,3,2.4133333325386
5306,2017-07-02 01:00:00,2017-07-02 02:00:00,60,2,34,4,4,5,3,3,3,5,4,4,6.36999999682109
5306,2017-07-02 02:00:00,2017-07-02 03:00:00,60,2,32,1,1,2,1,1,1,1,1,1,5.74833333492279
5306,2017-07-02 03:00:00,2017-07-02 04:00:00,60,2,22,0,0,0,0,0,0,0,0,0,8.51666666666667
5306,2017-07-02 04:00:00,2017-07-02 05:00:00,60,2,13,0,0,0,0,0,0,0,0,0,11.5633333325386
5306,2017-07-02 05:00:00,2017-07-02 06:00:00,60,2,29,0,0,0,0,0,0,0,0,0,7.10499999920527
5306,2017-07-02 06:00:00,2017-07-02 07:00:00,60,2,54,1,1,1,0,1,1,1,1,1,2.71833333174388
5306,2017-07-02 07:00:00,2017-07-02 08:00:00,60,2,58,2,2,2,2,2,2,2,2,2,2.56166666348775
5306,2017-07-02 08:00:00,2017-07-02 09:00:00,60,2,45,17,2,2,0,1,1,1,1,1,2.14333333571752
5306,2017-07-02 09:00:00,2017-07-02 10:00:00,60,2,30,30,2,3,2,2,2,2,2,2,1.125
5306,2017-07-02 10:00:00,2017-07-02 11:00:00,60,2,30,30,0,0,0,0,0,0,0,0,1
5306,2017-07-02 11:00:00,2017-07-02 12:00:00,60,2,30,30,1,1,1,1,1,1,1,1,0.95
5306,2017-07-02 12:00:00,2017-07-02 13:00:00,60,2,30,30,2,2,2,2,2,2,2,2,0.985000002384186
5306,2017-07-02 13:00:00,2017-07-02 14:00:00,60,2,30,30,1,1,1,1,1,1,1,1,0.933333333333333
5306,2017-07-02 14:00:00,2017-07-02 15:00:00,60,2,30,30,1,1,1,1,1,1,1,1,1.0366666674614
5306,2017-07-02 15:00:00,2017-07-02 16:00:00,60,2,30,30,6,11,4,5,5,7,6,5,1.05500000317891
5306,2017-07-02 16:00:00,2017-07-02 17:00:00,60,2,30,30,1,4,1,1,1,2,2,2,0.898333334922791
5306,2017-07-02 17:00:00,2017-07-02 18:00:00,60,2,30,30,2,6,2,2,2,2,2,2,0.965000001589457
5306,2017-07-02 18:00:00,2017-07-02 19:00:00,60,2,30,30,0,0,0,0,0,0,0,0,1.0116666674614
5306,2017-07-02 19:00:00,2017-07-02 20:00:00,60,2,30,30,2,5,2,2,2,3,3,3,1.2116666674614
5306,2017-07-02 20:00:00,2017-07-02 21:00:00,60,2,30,30,3,3,3,3,3,3,3,3,1.075
5306,2017-07-02 21:00:00,2017-07-02 22:00:00,60,2,30,30,1,3,1,1,1,2,2,2,1.02833333412806
5306,2017-07-02 22:00:00,2017-07-02 23:00:00,60,2,70,2,2,2,1,2,2,2,2,2,1.46499999761581
5306,2017-07-02 23:00:00,2017-07-03 00:00:00,60,2,70,0,0,0,0,0,0,0,0,0,2.05333333412806
5306,2017-07-03 00:00:00,2017-07-03 01:00:00,60,2,53,0,0,0,0,0,0,0,0,0,3.21000000238419
5306,2017-07-03 01:00:00,2017-07-03 02:00:00,60,2,26,1,1,1,1,1,1,1,1,1,6.24833333492279
5306,2017-07-03 02:00:00,2017-07-03 03:00:00,60,2,16,0,0,0,0,0,0,0,0,0,19.2233333349228
5306,2017-07-03 03:00:00,2017-07-03 04:00:00,60,2,11,1,1,1,0,1,1,1,1,1,19.2233333349228
5306,2017-07-03 04:00:00,2017-07-03 05:00:00,60,2,30,1,1,1,1,1,1,1,1,1,8.62999999920527
5306,2017-07-03 05:00:00,2017-07-03 06:00:00,60,2,58,4,5,5,3,5,5,5,5,5,3.27333333492279
5306,2017-07-03 06:00:00,2017-07-03 07:00:00,60,2,68,1,1,1,1,1,1,1,1,1,2.65499999920527
5306,2017-07-03 07:00:00,2017-07-03 08:00:00,60,2,31,31,1,3,1,1,1,3,2,1,1.025
5306,2017-07-03 08:00:00,2017-07-03 09:00:00,60,2,30,30,0,0,0,0,0,0,0,0,0.946666665871938
5306,2017-07-03 09:00:00,2017-07-03 10:00:00,60,2,30,30,2,10,2,2,2,2,2,2,0.971666665871938
5306,2017-07-03 10:00:00,2017-07-03 11:00:00,60,2,28,28,1,1,1,1,1,1,1,1,1.06500000158946
5306,2017-07-03 11:00:00,2017-07-03 12:00:00,60,2,27,27,7,18,6,6,6,9,9,7,0.940000001589457
5306,2017-07-03 12:00:00,2017-07-03 13:00:00,60,2,27,27,7,13,3,5,5,4,4,4,0.795000000794729
5306,2017-07-03 13:00:00,2017-07-03 14:00:00,60,2,26,26,8,12,7,8,8,10,10,10,1.275
5306,2017-07-03 14:00:00,2017-07-03 15:00:00,60,2,27,27,4,13,4,4,4,6,4,4,0.883333333333333
5306,2017-07-03 15:00:00,2017-07-03 16:00:00,60,2,24,24,2,2,2,2,2,2,2,2,1.77833333412806
5306,2017-07-03 16:00:00,2017-07-03 17:00:00,60,2,24,24,1,1,1,1,1,1,1,1,1.15
5306,2017-07-03 17:00:00,2017-07-03 18:00:00,60,2,24,24,7,15,3,4,4,8,7,7,0.958333333333333
5306,2017-07-03 18:00:00,2017-07-03 19:00:00,60,2,24,24,2,3,2,2,2,2,2,2,1.11666666666667
5306,2017-07-03 19:00:00,2017-07-03 20:00:00,60,2,24,24,3,3,3,3,3,3,3,3,1.30666666825612
5306,2017-07-03 20:00:00,2017-07-03 21:00:00,60,2,26,26,4,13,4,4,4,7,7,7,1.37333333492279
5306,2017-07-03 21:00:00,2017-07-03 22:00:00,60,2,50,3,3,4,3,3,3,3,3,3,0.975
5306,2017-07-03 22:00:00,2017-07-03 23:00:00,60,2,49,10,2,15,2,2,2,5,5,4,1.49333333174388
5306,2017-07-03 23:00:00,2017-07-04 00:00:00,60,2,25,22,2,3,1,2,2,2,1,1,1.60833333333333
5306,2017-07-04 00:00:00,2017-07-04 01:00:00,60,2,71,0,0,0,0,0,0,0,0,0,1.64500000079473
5306,2017-07-04 01:00:00,2017-07-04 02:00:00,60,2,43,0,0,0,0,0,0,0,0,0,3.48333333333333
5306,2017-07-04 02:00:00,2017-07-04 03:00:00,60,2,19,1,1,1,0,1,1,1,1,1,9.14833333094915
5306,2017-07-04 03:00:00,2017-07-04 04:00:00,60,2,20,0,0,0,0,0,0,0,0,0,10.1849999984105
5306,2017-07-04 04:00:00,2017-07-04 05:00:00,60,2,22,0,0,0,0,0,0,0,0,0,9.025
5306,2017-07-04 05:00:00,2017-07-04 06:00:00,60,2,47,1,1,1,0,1,1,1,1,1,11.1416666666667
5306,2017-07-04 06:00:00,2017-07-04 07:00:00,60,2,60,3,3,6,1,3,3,3,3,3,2.81499999761581
5306,2017-07-04 07:00:00,2017-07-04 08:00:00,60,2,53,16,1,1,0,1,1,1,1,1,1.29333333174388
5306,2017-07-04 08:00:00,2017-07-04 09:00:00,60,2,30,30,5,5,3,4,4,5,5,5,1.28166666825612
5306,2017-07-04 09:00:00,2017-07-04 10:00:00,60,2,30,30,16,18,7,10,10,16,16,16,1.0633333325386
5306,2017-07-04 10:00:00,2017-07-04 11:00:00,60,2,28,28,4,4,4,4,4,4,4,4,1.19333333174388
5306,2017-07-04 11:00:00,2017-07-04 12:00:00,60,2,27,27,0,0,0,0,0,0,0,0,1.12999999920527
5306,2017-07-04 12:00:00,2017-07-04 13:00:00,60,2,27,27,3,3,3,3,3,3,3,3,1.18500000238419
5306,2017-07-04 13:00:00,2017-07-04 14:00:00,60,2,28,28,1,3,1,1,1,1,1,1,1.19833333492279
5306,2017-07-04 14:00:00,2017-07-04 15:00:00,60,2,27,27,1,1,1,1,1,1,1,1,1.19833333492279
5306,2017-07-04 15:00:00,2017-07-04 16:00:00,60,2,26,26,6,6,3,5,5,5,5,5,1.46500000158946
5306,2017-07-04 16:00:00,2017-07-04 17:00:00,60,2,27,27,2,3,2,2,2,2,2,2,1.07833333412806
5306,2017-07-04 17:00:00,2017-07-04 18:00:00,60,2,28,28,2,3,2,2,2,2,2,2,1.11000000238419
5306,2017-07-04 18:00:00,2017-07-04 19:00:00,60,2,27,27,3,3,2,2,2,3,3,3,1.11000000238419
5306,2017-07-04 19:00:00,2017-07-04 20:00:00,60,2,30,30,5,7,5,5,5,5,5,5,1.19833333492279
5306,2017-07-04 20:00:00,2017-07-04 21:00:00,60,2,30,30,2,3,2,2,2,2,2,2,0.988333332538605
5306,2017-07-04 21:00:00,2017-07-04 22:00:00,60,2,30,30,3,7,3,3,3,5,4,4,1.0616666674614
5306,2017-07-04 22:00:00,2017-07-04 23:00:00,60,2,56,1,1,2,1,1,1,1,1,1,1.52166666984558
5306,2017-07-04 23:00:00,2017-07-05 00:00:00,60,2,69,0,0,0,0,0,0,0,0,0,1.28500000238419
5306,2017-07-05 00:00:00,2017-07-05 01:00:00,60,2,50,0,0,0,0,0,0,0,0,0,5.62333333094915
5306,2017-07-05 01:00:00,2017-07-05 02:00:00,60,2,25,0,0,0,0,0,0,0,0,0,7.01500000158946
5306,2017-07-05 02:00:00,2017-07-05 03:00:00,60,2,20,0,0,0,0,0,0,0,0,0,8.34333333571752
5306,2017-07-05 03:00:00,2017-07-05 04:00:00,60,2,20,0,0,0,0,0,0,0,0,0,8.34333333571752
