Signal Id,Timestamp,Event Code,Event Parameter
5306,01/31/2019 11:59:04.000,0,2
5306,01/31/2019 11:59:04.000,0,6
5306,01/31/2019 11:59:04.000,21,2
5306,01/31/2019 11:59:04.000,21,6
5306,01/31/2019 11:59:49.500,22,2
5306,01/31/2019 11:59:53.500,22,6
5306,01/31/2019 12:00:10.500,23,2
5306,01/31/2019 12:00:10.500,23,6
5306,01/31/2019 12:00:17.000,0,4
5306,01/31/2019 12:00:17.000,0,7
5306,01/31/2019 12:00:32.600,0,8
5306,01/31/2019 12:00:42.700,0,3
5306,01/31/2019 12:01:16.000,0,2
5306,01/31/2019 12:01:16.000,0,6
5306,01/31/2019 12:01:16.000,21,2
5306,01/31/2019 12:01:16.000,21,6
5306,01/31/2019 12:01:19.900,45,2
5306,01/31/2019 12:01:19.900,90,2
5306,01/31/2019 12:01:20.100,89,2
5306,01/31/2019 12:01:22.600,45,2
5306,01/31/2019 12:01:22.600,90,2
5306,01/31/2019 12:01:22.900,89,2
5306,01/31/2019 12:02:01.500,22,2
5306,01/31/2019 12:02:05.500,22,6
5306,01/31/2019 12:02:22.500,23,2
5306,01/31/2019 12:02:22.500,23,6
5306,01/31/2019 12:02:29.000,0,4
5306,01/31/2019 12:02:29.000,0,7
5306,01/31/2019 12:02:47.000,0,8
5306,01/31/2019 12:02:50.700,0,3
5306,01/31/2019 12:03:28.000,0,2
5306,01/31/2019 12:03:28.000,0,6
5306,01/31/2019 12:03:28.000,21,2
5306,01/31/2019 12:03:28.000,21,6
5306,01/31/2019 12:04:13.500,22,2
5306,01/31/2019 12:04:17.500,22,6
5306,01/31/2019 12:04:34.500,23,2
5306,01/31/2019 12:04:34.500,23,6
5306,01/31/2019 12:04:41.000,0,4
5306,01/31/2019 12:04:41.000,0,7
5306,01/31/2019 12:04:49.900,45,8
5306,01/31/2019 12:04:49.900,90,8
5306,01/31/2019 12:04:50.200,89,8
5306,01/31/2019 12:04:56.700,0,8
5306,01/31/2019 12:04:56.700,21,8
5306,01/31/2019 12:04:58.700,0,3
5306,01/31/2019 12:05:01.700,22,8
5306,01/31/2019 12:05:23.700,23,8
5306,01/31/2019 12:05:30.200,0,2
5306,01/31/2019 12:05:30.200,0,6
5306,01/31/2019 12:05:30.200,21,2
5306,01/31/2019 12:05:30.200,21,6
5306,01/31/2019 12:06:25.500,22,2
5306,01/31/2019 12:06:29.500,22,6
5306,01/31/2019 12:06:46.500,23,2
5306,01/31/2019 12:06:46.500,23,6
5306,01/31/2019 12:06:53.000,0,4
5306,01/31/2019 12:06:53.000,0,7
5306,01/31/2019 12:07:02.700,45,8
5306,01/31/2019 12:07:02.700,90,8
5306,01/31/2019 12:07:03.100,89,8
5306,01/31/2019 12:07:11.000,0,8
5306,01/31/2019 12:07:11.000,21,8
5306,01/31/2019 12:07:13.500,0,3
5306,01/31/2019 12:07:16.000,22,8
5306,01/31/2019 12:07:38.000,23,8
5306,01/31/2019 12:07:52.000,0,2
5306,01/31/2019 12:07:52.000,0,6
5306,01/31/2019 12:07:52.000,21,2
5306,01/31/2019 12:07:52.000,21,6
5306,01/31/2019 12:08:37.500,22,2
5306,01/31/2019 12:08:41.500,22,6
5306,01/31/2019 12:08:58.500,23,2
5306,01/31/2019 12:08:58.500,23,6
5306,01/31/2019 12:09:05.000,0,4
5306,01/31/2019 12:09:05.000,0,7
5306,01/31/2019 12:09:18.300,0,8
5306,01/31/2019 12:09:27.700,0,3
5306,01/31/2019 12:09:54.300,0,1
5306,01/31/2019 12:09:54.300,0,6
5306,01/31/2019 12:09:54.300,21,6
5306,01/31/2019 12:10:10.700,0,2
5306,01/31/2019 12:10:10.700,21,2
5306,01/31/2019 12:10:30.200,45,8
5306,01/31/2019 12:10:30.200,90,8
5306,01/31/2019 12:10:30.500,89,8
5306,01/31/2019 12:10:49.500,22,2
5306,01/31/2019 12:10:53.500,22,6
5306,01/31/2019 12:11:10.500,23,2
5306,01/31/2019 12:11:10.500,23,6
5306,01/31/2019 12:11:17.000,0,4
5306,01/31/2019 12:11:17.000,0,7
5306,01/31/2019 12:11:31.100,0,8
5306,01/31/2019 12:11:31.100,21,8
5306,01/31/2019 12:11:36.100,22,8
5306,01/31/2019 12:11:37.700,0,3
5306,01/31/2019 12:11:58.100,23,8
5306,01/31/2019 12:12:07.500,0,2
5306,01/31/2019 12:12:07.500,0,6
5306,01/31/2019 12:12:07.500,21,2
5306,01/31/2019 12:12:07.500,21,6
5306,01/31/2019 12:13:01.500,22,2
5306,01/31/2019 12:13:05.500,22,6
5306,01/31/2019 12:13:22.500,23,2
5306,01/31/2019 12:13:22.500,23,6
5306,01/31/2019 12:13:29.000,0,4
5306,01/31/2019 12:13:29.000,0,7
5306,01/31/2019 12:13:39.000,0,8
5306,01/31/2019 12:13:57.500,0,3
5306,01/31/2019 12:14:28.000,0,1
5306,01/31/2019 12:14:28.000,0,6
5306,01/31/2019 12:14:28.000,21,6
5306,01/31/2019 12:14:40.000,0,2
5306,01/31/2019 12:14:40.000,21,2
5306,01/31/2019 12:14:51.500,45,8
5306,01/31/2019 12:14:51.500,90,8
5306,01/31/2019 12:14:51.800,89,8
5306,01/31/2019 12:15:13.500,22,2
5306,01/31/2019 12:15:17.500,22,6
5306,01/31/2019 12:15:34.500,23,2
5306,01/31/2019 12:15:34.500,23,6
5306,01/31/2019 12:15:41.000,0,4
5306,01/31/2019 12:15:41.000,0,7
5306,01/31/2019 12:15:58.200,0,8
5306,01/31/2019 12:15:58.200,21,8
5306,01/31/2019 12:16:03.200,22,8
5306,01/31/2019 12:16:05.100,0,3
5306,01/31/2019 12:16:25.200,23,8
5306,01/31/2019 12:16:40.000,0,1
5306,01/31/2019 12:16:40.000,0,6
5306,01/31/2019 12:16:40.000,21,6
5306,01/31/2019 12:16:52.000,0,2
5306,01/31/2019 12:16:52.000,21,2
5306,01/31/2019 12:17:25.500,22,2
5306,01/31/2019 12:17:29.500,22,6
5306,01/31/2019 12:17:46.500,23,2
5306,01/31/2019 12:17:46.500,23,6
5306,01/31/2019 12:17:53.000,0,4
5306,01/31/2019 12:17:53.000,0,7
5306,01/31/2019 12:18:11.000,0,8
5306,01/31/2019 12:18:15.300,0,3
5306,01/31/2019 12:18:44.900,0,2
5306,01/31/2019 12:18:44.900,0,6
5306,01/31/2019 12:18:44.900,21,2
5306,01/31/2019 12:18:44.900,21,6
5306,01/31/2019 12:19:37.500,22,2
5306,01/31/2019 12:19:41.500,22,6
5306,01/31/2019 12:19:58.500,23,2
5306,01/31/2019 12:19:58.500,23,6
5306,01/31/2019 12:20:05.000,0,4
5306,01/31/2019 12:20:05.000,0,7
5306,01/31/2019 12:20:21.400,0,8
5306,01/31/2019 12:20:34.000,0,3
5306,01/31/2019 12:20:46.600,45,2
5306,01/31/2019 12:20:46.600,90,2
5306,01/31/2019 12:20:46.800,89,2
5306,01/31/2019 12:21:03.500,0,2
5306,01/31/2019 12:21:03.500,0,6
5306,01/31/2019 12:21:03.500,21,2
5306,01/31/2019 12:21:03.500,21,6
5306,01/31/2019 12:21:49.500,22,2
5306,01/31/2019 12:21:53.500,22,6
5306,01/31/2019 12:22:10.500,23,2
5306,01/31/2019 12:22:10.500,23,6
5306,01/31/2019 12:22:17.000,0,4
5306,01/31/2019 12:22:17.000,0,7
5306,01/31/2019 12:22:35.000,0,8
5306,01/31/2019 12:22:46.000,0,3
5306,01/31/2019 12:23:15.800,0,2
5306,01/31/2019 12:23:15.800,0,6
5306,01/31/2019 12:23:15.800,21,2
5306,01/31/2019 12:23:15.800,21,6
5306,01/31/2019 12:24:01.500,22,2
5306,01/31/2019 12:24:05.500,22,6
5306,01/31/2019 12:24:16.200,45,8
5306,01/31/2019 12:24:16.200,90,8
5306,01/31/2019 12:24:16.400,89,8
5306,01/31/2019 12:24:22.500,23,2
5306,01/31/2019 12:24:22.500,23,6
5306,01/31/2019 12:24:29.000,0,4
5306,01/31/2019 12:24:29.000,0,7
5306,01/31/2019 12:24:44.700,0,8
5306,01/31/2019 12:24:44.700,21,8
5306,01/31/2019 12:24:49.700,22,8
5306,01/31/2019 12:24:52.000,0,3
5306,01/31/2019 12:25:11.700,23,8
5306,01/31/2019 12:25:25.200,0,2
5306,01/31/2019 12:25:25.200,0,6
5306,01/31/2019 12:25:25.200,21,2
5306,01/31/2019 12:25:25.200,21,6
5306,01/31/2019 12:26:13.500,22,2
5306,01/31/2019 12:26:17.500,22,6
5306,01/31/2019 12:26:34.500,23,2
5306,01/31/2019 12:26:34.500,23,6
5306,01/31/2019 12:26:41.000,0,4
5306,01/31/2019 12:26:41.000,0,7
5306,01/31/2019 12:26:59.000,0,8
5306,01/31/2019 12:27:10.000,0,3
5306,01/31/2019 12:27:40.000,0,2
5306,01/31/2019 12:27:40.000,0,6
5306,01/31/2019 12:27:40.000,21,2
5306,01/31/2019 12:27:40.000,21,6
5306,01/31/2019 12:28:25.500,22,2
5306,01/31/2019 12:28:29.500,22,6
5306,01/31/2019 12:28:46.500,23,2
5306,01/31/2019 12:28:46.500,23,6
5306,01/31/2019 12:28:53.000,0,4
5306,01/31/2019 12:28:53.000,0,7
5306,01/31/2019 12:29:09.000,0,8
5306,01/31/2019 12:29:18.500,0,3
5306,01/31/2019 12:29:41.000,0,2
5306,01/31/2019 12:29:41.000,0,6
5306,01/31/2019 12:29:41.000,21,2
5306,01/31/2019 12:29:41.000,21,6
5306,01/31/2019 12:30:37.500,22,2
5306,01/31/2019 12:30:41.500,22,6
5306,01/31/2019 12:30:58.500,23,2
5306,01/31/2019 12:30:58.500,23,6
5306,01/31/2019 12:31:05.000,0,4
5306,01/31/2019 12:31:05.000,0,7
5306,01/31/2019 12:31:18.400,0,8
5306,01/31/2019 12:31:21.700,0,3
5306,01/31/2019 12:31:48.200,0,2
5306,01/31/2019 12:31:48.200,0,6
5306,01/31/2019 12:31:48.200,21,2
5306,01/31/2019 12:31:48.200,21,6
5306,01/31/2019 12:32:49.500,22,2
5306,01/31/2019 12:32:53.500,22,6
5306,01/31/2019 12:33:10.500,23,2
5306,01/31/2019 12:33:10.500,23,6
5306,01/31/2019 12:33:17.000,0,4
5306,01/31/2019 12:33:17.000,0,7
5306,01/31/2019 12:33:27.000,0,8
5306,01/31/2019 12:33:34.800,0,3
5306,01/31/2019 12:34:08.100,0,2
5306,01/31/2019 12:34:08.100,0,6
5306,01/31/2019 12:34:08.100,21,2
5306,01/31/2019 12:34:08.100,21,6
5306,01/31/2019 12:35:01.500,22,2
5306,01/31/2019 12:35:05.500,22,6
5306,01/31/2019 12:35:22.500,23,2
5306,01/31/2019 12:35:22.500,23,6
5306,01/31/2019 12:35:29.000,0,4
5306,01/31/2019 12:35:29.000,0,7
5306,01/31/2019 12:35:46.700,0,8
5306,01/31/2019 12:35:56.800,0,3
5306,01/31/2019 12:36:28.000,0,2
5306,01/31/2019 12:36:28.000,0,6
5306,01/31/2019 12:36:28.000,21,2
5306,01/31/2019 12:36:28.000,21,6
5306,01/31/2019 12:36:29.800,45,2
5306,01/31/2019 12:36:29.800,90,2
5306,01/31/2019 12:36:30.000,89,2
5306,01/31/2019 12:37:13.500,22,2
5306,01/31/2019 12:37:17.500,22,6
5306,01/31/2019 12:37:34.500,23,2
5306,01/31/2019 12:37:34.500,23,6
5306,01/31/2019 12:37:41.000,0,4
5306,01/31/2019 12:37:41.000,0,7
5306,01/31/2019 12:37:55.700,0,8
5306,01/31/2019 12:37:58.300,0,3
5306,01/31/2019 12:38:27.900,0,1
5306,01/31/2019 12:38:27.900,0,6
5306,01/31/2019 12:38:27.900,21,6
5306,01/31/2019 12:38:40.800,0,2
5306,01/31/2019 12:38:40.800,21,2
5306,01/31/2019 12:39:25.500,22,2
5306,01/31/2019 12:39:29.500,22,6
5306,01/31/2019 12:39:46.500,23,2
5306,01/31/2019 12:39:46.500,23,6
5306,01/31/2019 12:39:53.000,0,4
5306,01/31/2019 12:39:53.000,0,7
5306,01/31/2019 12:40:11.000,0,8
5306,01/31/2019 12:40:12.600,0,3
5306,01/31/2019 12:40:42.500,0,2
5306,01/31/2019 12:40:42.500,0,6
5306,01/31/2019 12:40:42.500,21,2
5306,01/31/2019 12:40:42.500,21,6
5306,01/31/2019 12:41:37.500,22,2
5306,01/31/2019 12:41:41.500,22,6
5306,01/31/2019 12:41:58.500,23,2
5306,01/31/2019 12:41:58.500,23,6
5306,01/31/2019 12:42:05.000,0,4
5306,01/31/2019 12:42:05.000,0,7
5306,01/31/2019 12:42:18.100,0,8
5306,01/31/2019 12:42:25.800,0,3
5306,01/31/2019 12:42:50.000,0,2
5306,01/31/2019 12:42:50.000,0,6
5306,01/31/2019 12:42:50.000,21,2
5306,01/31/2019 12:42:50.000,21,6
5306,01/31/2019 12:43:49.500,22,2
5306,01/31/2019 12:43:53.500,22,6
5306,01/31/2019 12:44:10.500,23,2
5306,01/31/2019 12:44:10.500,23,6
5306,01/31/2019 12:44:17.000,0,4
5306,01/31/2019 12:44:17.000,0,7
5306,01/31/2019 12:44:35.000,0,8
5306,01/31/2019 12:44:46.000,0,3
5306,01/31/2019 12:45:16.000,0,2
5306,01/31/2019 12:45:16.000,0,6
5306,01/31/2019 12:45:16.000,21,2
5306,01/31/2019 12:45:16.000,21,6
5306,01/31/2019 12:46:01.500,22,2
5306,01/31/2019 12:46:05.500,22,6
5306,01/31/2019 12:46:22.500,23,2
5306,01/31/2019 12:46:22.500,23,6
5306,01/31/2019 12:46:29.000,0,4
5306,01/31/2019 12:46:29.000,0,7
5306,01/31/2019 12:46:45.900,0,3
5306,01/31/2019 12:46:47.000,0,8
5306,01/31/2019 12:47:15.900,0,1
5306,01/31/2019 12:47:15.900,0,6
5306,01/31/2019 12:47:15.900,21,6
5306,01/31/2019 12:47:31.100,0,2
5306,01/31/2019 12:47:31.100,21,2
5306,01/31/2019 12:48:13.500,22,2
5306,01/31/2019 12:48:17.500,22,6
5306,01/31/2019 12:48:34.500,23,2
5306,01/31/2019 12:48:34.500,23,6
5306,01/31/2019 12:48:41.000,0,4
5306,01/31/2019 12:48:41.000,0,7
5306,01/31/2019 12:48:59.000,0,3
5306,01/31/2019 12:48:59.000,0,8
5306,01/31/2019 12:49:39.400,0,2
5306,01/31/2019 12:49:39.400,0,6
5306,01/31/2019 12:49:39.400,21,2
5306,01/31/2019 12:49:39.400,21,6
5306,01/31/2019 12:50:25.500,22,2
5306,01/31/2019 12:50:29.500,22,6
5306,01/31/2019 12:50:46.500,23,2
5306,01/31/2019 12:50:46.500,23,6
5306,01/31/2019 12:50:53.000,0,4
5306,01/31/2019 12:50:53.000,0,7
5306,01/31/2019 12:51:11.000,0,8
5306,01/31/2019 12:51:11.300,0,3
5306,01/31/2019 12:51:41.800,0,1
5306,01/31/2019 12:51:41.800,0,6
5306,01/31/2019 12:51:41.800,21,6
5306,01/31/2019 12:51:57.000,0,2
5306,01/31/2019 12:51:57.000,21,2
5306,01/31/2019 12:52:37.500,22,2
5306,01/31/2019 12:52:41.500,22,6
5306,01/31/2019 12:52:58.500,23,2
5306,01/31/2019 12:52:58.500,23,6
5306,01/31/2019 12:53:02.000,45,8
5306,01/31/2019 12:53:02.000,90,8
5306,01/31/2019 12:53:02.300,89,8
5306,01/31/2019 12:53:02.600,90,8
5306,01/31/2019 12:53:02.800,89,8
5306,01/31/2019 12:53:03.000,90,8
5306,01/31/2019 12:53:03.200,89,8
5306,01/31/2019 12:53:03.400,90,8
5306,01/31/2019 12:53:03.600,89,8
5306,01/31/2019 12:53:05.000,0,4
5306,01/31/2019 12:53:05.000,0,7
5306,01/31/2019 12:53:23.000,0,8
5306,01/31/2019 12:53:23.000,21,8
5306,01/31/2019 12:53:28.000,22,8
5306,01/31/2019 12:53:32.100,0,3
5306,01/31/2019 12:53:50.000,23,8
5306,01/31/2019 12:53:50.600,45,6
5306,01/31/2019 12:53:50.600,90,6
5306,01/31/2019 12:53:51.000,89,6
5306,01/31/2019 12:54:04.000,0,1
5306,01/31/2019 12:54:04.000,0,6
5306,01/31/2019 12:54:04.000,21,6
5306,01/31/2019 12:54:16.000,0,2
5306,01/31/2019 12:54:16.000,21,2
5306,01/31/2019 12:54:49.500,22,2
5306,01/31/2019 12:54:53.500,22,6
5306,01/31/2019 12:55:10.500,23,2
5306,01/31/2019 12:55:10.500,23,6
5306,01/31/2019 12:55:17.000,0,4
5306,01/31/2019 12:55:17.000,0,7
5306,01/31/2019 12:55:35.000,0,8
5306,01/31/2019 12:55:45.900,0,3
5306,01/31/2019 12:55:50.800,45,6
5306,01/31/2019 12:55:50.800,90,6
5306,01/31/2019 12:55:51.000,89,6
5306,01/31/2019 12:55:51.500,90,6
5306,01/31/2019 12:55:51.700,89,6
5306,01/31/2019 12:56:16.000,0,2
5306,01/31/2019 12:56:16.000,0,6
5306,01/31/2019 12:56:16.000,21,2
5306,01/31/2019 12:56:16.000,21,6
5306,01/31/2019 12:57:01.500,22,2
5306,01/31/2019 12:57:05.500,22,6
5306,01/31/2019 12:57:22.500,23,2
5306,01/31/2019 12:57:22.500,23,6
5306,01/31/2019 12:57:29.000,0,4
5306,01/31/2019 12:57:29.000,0,7
5306,01/31/2019 12:57:42.600,0,8
5306,01/31/2019 12:57:47.400,0,3
5306,01/31/2019 12:58:23.600,0,1
5306,01/31/2019 12:58:23.600,0,6
5306,01/31/2019 12:58:23.600,21,6
5306,01/31/2019 12:58:34.200,0,2
5306,01/31/2019 12:58:34.200,21,2
5306,01/31/2019 12:59:13.500,22,2
5306,01/31/2019 12:59:17.500,22,6
5306,01/31/2019 12:59:34.500,23,2
5306,01/31/2019 12:59:34.500,23,6
5306,01/31/2019 12:59:41.000,0,4
5306,01/31/2019 12:59:41.000,0,7
5306,01/31/2019 12:59:59.000,0,8
5306,01/31/2019 13:00:06.900,0,3
5306,01/31/2019 13:00:31.900,0,1
5306,01/31/2019 13:00:31.900,0,6
5306,01/31/2019 13:00:31.900,21,6
5306,01/31/2019 13:00:52.000,0,2
5306,01/31/2019 13:00:52.000,21,2
5306,01/31/2019 13:01:25.500,22,2
5306,01/31/2019 13:01:29.500,22,6
5306,01/31/2019 13:01:46.500,23,2
5306,01/31/2019 13:01:46.500,23,6
5306,01/31/2019 13:01:53.000,0,4
5306,01/31/2019 13:01:53.000,0,7
5306,01/31/2019 13:02:11.000,0,8
5306,01/31/2019 13:02:15.100,0,3
5306,01/31/2019 13:02:44.800,0,2
5306,01/31/2019 13:02:44.800,0,6
5306,01/31/2019 13:02:44.800,21,2
5306,01/31/2019 13:02:44.800,21,6
