"EVENTID","VIDEOID","SIGNALID","TIME","PED","XPED","XDUP","CPED","X1DIR","X1PED","X1DUP","X2DIR","X2PED","X2DUP","X3DIR","X3PED","X3DUP","X4DIR","X4PED","X4DUP","C1DIR","C1PED","C2DIR","C2PED","C3DIR","C3PED","C4DIR","C4PED","BOWHAT","BODIR","BONUM","BONOTES","PERSON","PERSON2","SAVED","NOTES"
1,1,5306,2019-01-31 12:01:32,1,1,0,0,"",0,0,"E",1,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 22:51:26,""
2,1,5306,2019-01-31 12:20:48,1,0,0,1,"",0,0,"E",0,0,"S",0,0,"",0,0,"",0,"SE",1,"",0,"",0,"","",0,"","AB","",2019-04-10 22:55:00,""
3,1,5306,2019-01-31 12:32:20,1,1,0,0,"",0,0,"E",1,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 22:55:35,""
4,1,5306,2019-01-31 12:35:03,1,1,0,0,"",0,0,"E",1,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 22:55:49,""
5,1,5306,2019-01-31 12:36:38,2,2,0,0,"",0,0,"E",2,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 22:56:20,""
6,1,5306,2019-01-31 12:46:12,0,0,0,0,"",0,0,"E",0,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"BIKE","E",1,"","AB","",2019-04-10 22:58:06,""
7,1,5306,2019-01-31 13:05:07,1,1,0,0,"",0,0,"E",1,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 23:00:17,""
8,1,5306,2019-01-31 13:16:25,1,1,0,0,"",0,0,"E",1,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 23:01:45,""
9,1,5306,2019-01-31 13:16:43,1,1,0,0,"",0,0,"E",1,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 23:02:31,""
10,1,5306,2019-01-31 13:20:32,0,0,0,0,"",0,0,"E",0,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"WHEEL","E",1,"","AB","PAS",2019-04-10 23:03:23,""
11,1,5306,2019-01-31 13:33:54,1,1,0,0,"",0,0,"E",1,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 23:05:07,""
12,1,5306,2019-01-31 13:44:53,1,1,0,0,"",0,0,"E",1,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 23:06:33,""
13,1,5306,2019-01-31 13:57:58,1,1,0,0,"",0,0,"E",1,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 23:08:14,""
14,1,5306,2019-01-31 14:06:59,1,1,0,0,"",0,0,"E",1,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 23:09:28,""
15,1,5306,2019-01-31 14:08:59,1,1,0,0,"",0,0,"E",1,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","PAS",2019-04-10 23:09:54,""
16,1,5306,2019-01-31 14:11:40,2,2,0,0,"",0,0,"E",2,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 23:10:28,""
17,1,5306,2019-01-31 14:13:48,1,1,0,0,"",0,0,"E",1,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 23:11:22,""
18,1,5306,2019-01-31 14:16:11,1,1,0,0,"",0,0,"E",1,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 23:11:35,""
19,1,5306,2019-01-31 14:16:31,1,1,0,0,"",0,0,"E",1,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 23:12:00,""
20,1,5306,2019-01-31 14:24:28,1,1,0,0,"",0,0,"E",1,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 23:13:13,""
21,1,5306,2019-01-31 14:26:54,1,1,0,0,"",0,0,"E",1,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 23:13:44,""
22,1,5306,2019-01-31 14:28:49,1,1,0,0,"",0,0,"E",1,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 23:14:37,""
23,1,5306,2019-01-31 14:37:53,1,1,0,0,"",0,0,"E",1,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 23:16:04,""
24,1,5306,2019-01-31 14:49:00,1,1,0,0,"",0,0,"E",1,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 23:17:27,""
25,1,5306,2019-01-31 14:50:13,0,1,1,0,"",0,0,"E",0,0,"S",1,1,"",0,0,"",0,"SE",0,"",0,"",0,"","",0,"","AB","",2019-04-10 23:17:54,""
26,1,5306,2019-01-31 14:50:52,0,0,0,0,"",0,0,"E",0,0,"S",0,0,"",0,0,"",0,"SE",0,"",0,"",0,"BIKE","E",1,"","AB","",2019-04-10 23:19:11,""
